county_id,county_name,population,population_change,num_born,num_dead,birth_excess,total_immigration,internal_immigration,swedish_immigration,foreign_immigration,total_emigration,internal_emmigration,swedish_emigration,foreign_emigration,total_net_migration,internal_migration,swedish_migration,foreign_migration
0563,Valdemarsvik                                      ,7 907,6,26,22,4,182,73,55,54,179,86,91,2,3,-13,-36,52
0512,Ydre                                              ,3 743,41,12,12,0,97,19,65,13,56,7,48,1,41,12,17,12
0561,Åtvidaberg                                        ,11 618,13,36,27,9,178,89,61,28,174,110,56,8,4,-21,5,20
0509,Ödeshög                                           ,5 367,15,17,12,5,107,31,45,31,100,51,48,1,7,-20,-3,30
0604,Aneby                                             ,6 766,48,24,12,12,141,82,43,16,104,67,31,6,37,15,12,10
0686,Eksjö                                             ,17 390,120,53,53,0,418,128,179,111,304,91,203,10,114,37,-24,101
0662,Gislaved                                          ,29 564,-80,77,64,13,364,63,195,106,472,113,328,31,-108,-50,-133,75
0617,Gnosjö                                            ,9 702,-5,31,22,9,156,75,49,32,171,101,69,1,-15,-26,-20,31
0643,Habo                                              ,11 726,31,38,18,20,171,122,31,18,160,96,64,0,11,26,-33,18
0680,Jönköping                                         ,137 031,854,424,283,141,2 526,449,1 361,716,1 831,481,1 245,105,695,-32,116,611
0642,Mullsjö                                           ,7 286,38,16,14,2,141,85,33,23,108,40,54,14,33,45,-21,9
0682,Nässjö                                            ,31 150,168,101,77,24,627,220,225,182,518,200,298,20,109,20,-73,162
0684,Sävsjö                                            ,11 442,-55,47,23,24,174,52,64,58,255,112,138,5,-81,-60,-74,53
0687,Tranås                                            ,18 905,30,62,51,11,315,51,200,64,299,78,208,13,16,-27,-8,51
0665,Vaggeryd                                          ,13 861,112,40,30,10,353,115,79,159,258,112,141,5,95,3,-62,154
0685,Vetlanda                                          ,27 367,16,72,69,3,361,85,172,104,350,87,250,13,11,-2,-78,91
0683,Värnamo                                           ,34 101,106,88,65,23,506,157,277,72,440,106,305,29,66,51,-28,43
0764,Alvesta                                           ,19 950,50,59,48,11,390,160,154,76,352,162,176,14,38,-2,-22,62
0761,Lessebo                                           ,8 785,13,25,19,6,186,65,61,60,181,74,103,4,5,-9,-42,56
0781,Ljungby                                           ,28 216,75,82,80,2,388,56,208,124,321,64,245,12,67,-8,-37,112
0767,Markaryd                                          ,10 172,41,40,23,17,170,26,114,30,150,30,110,10,20,-4,4,20
0763,Tingsryd                                          ,12 411,-11,36,36,0,232,69,122,41,243,77,155,11,-11,-8,-33,30
0760,Uppvidinge                                        ,9 567,-11,23,31,-8,192,33,90,69,192,59,130,3,0,-26,-40,66
0780,Växjö                                             ,90 899,716,278,157,121,2 014,334,1 202,478,1 416,269,1 067,80,598,65,135,398
0765,Älmhult                                           ,17 040,114,68,53,15,443,65,199,179,342,73,238,31,101,-8,-39,148
0885,Borgholm                                          ,10 864,-40,23,38,-15,163,50,85,28,190,72,115,3,-27,-22,-30,25
0862,Emmaboda                                          ,9 350,33,27,40,-13,178,47,93,38,132,44,78,10,46,3,15,28
